ped,variant,n_frames,frac_anom,auc_global,auc_per_clip,eer
UCSDped2,raw,2010,0.8199004975124378,0.5817825390226895,0.6848128333991055,0.4539321058842461
UCSDped2,S,2010,0.8199004975124378,0.8864360953172773,0.9416042946137948,0.16401598455184252
UCSDped2,LS,2010,0.8199004975124378,0.41813029689427667,0.4903046320023682,0.5833053961272328
UCSDped2,raw_to_S,2010,0.8199004975124378,0.5460586748377407,0.5459545307119341,0.49801198841388183
UCSDped1,raw,7200,0.5618055555555556,0.7021202831066509,0.7712708353670438,0.35002615190830577
UCSDped1,raw,7200,0.5618055555555556,0.7021202831066509,0.7712708353670438,0.35002615190830577
UCSDped1,S,7200,0.5618055555555556,0.7760066917542152,0.8141141256584055,0.2769528227409942
UCSDped1,LS,7200,0.5618055555555556,0.7834133039752861,0.8241496017357139,0.26584364880827616
UCSDped1,raw_to_S,7200,0.5618055555555556,0.5315390447011532,0.5941452592214348,0.4858401618871687
